verb_lemma,formula_freq,formula_freq_norm,num_formula,formula_prop
kaybol,2992,0.9033816425120773,159,0.7607655502392344
dağıt,4338,0.8219022356953392,225,0.7450331125827815
genişle,5181,0.7498914459400782,201,0.7556390977443609
it,42464,0.8065337132003799,324,0.6377952755905512
yayımla,4177,0.7896030245746691,196,0.7808764940239044
öp,3105,0.8823529411764706,238,0.7986577181208053
yorumla,4796,0.8138469370439505,230,0.7278481012658228
salla,3104,0.7894201424211598,164,0.7735849056603774
suçla,4089,0.8197674418604651,199,0.7653846153846153
uyar,3342,0.8392767453540935,206,0.7573529411764706
eğ,29534,0.7898480958493795,313,0.6466942148760331
sırala,5285,0.8496784565916399,197,0.7911646586345381
es,27410,0.7590695098310717,318,0.6666666666666666
sergile,3773,0.799364406779661,229,0.7789115646258503
kuru,5637,0.8145953757225434,223,0.7483221476510067
parçala,3855,0.7172093023255814,205,0.7765151515151515
sığ,4245,0.7725204731574158,251,0.7171428571428572
ısın,1416,0.7654054054054054,165,0.812807881773399
anımsa,4190,0.8115436761572729,233,0.7103658536585366
kapsa,1958,0.8887880163413527,135,0.7848837209302325
eleştir,3614,0.815065403698692,211,0.7301038062283737
don,7756,0.7192803486970231,277,0.760989010989011
as,30077,0.7749207739674852,303,0.6378947368421053
seslen,3776,0.8692449355432781,236,0.8
kavra,3860,0.8285039708091865,246,0.717201166180758
güçlen,312,0.7255813953488373,67,0.6979166666666666
döv,3623,0.857717803030303,227,0.761744966442953
yönlen,7414,0.7072402938090241,237,0.7383177570093458
çök,3492,0.8624351691775747,195,0.7276119402985075
imzala,4245,0.7897674418604651,227,0.7721088435374149
reddet,3894,0.8340115656457485,212,0.7335640138408305
ört,3317,0.8123928483957874,230,0.7540983606557377
ölç,4717,0.7962525320729237,212,0.7544483985765125
üstlen,3220,0.8834019204389575,192,0.758893280632411
yarış,3261,0.776059019514517,201,0.8072289156626506
kutla,3933,0.8441725692208628,187,0.748
dinlen,3406,0.8728856996412097,236,0.7637540453074434
çoğal,4752,0.7962466487935657,214,0.7328767123287672
boya,4134,0.8235059760956175,239,0.7539432176656151
göç,1053,0.8709677419354839,170,0.8133971291866029
dağıl,3057,0.8886627906976744,147,0.75
amaçla,2830,0.8148574719262885,142,0.7802197802197802
boşal,5398,0.7507649513212795,230,0.7371794871794872
gecik,3852,0.7520499804763764,209,0.7206896551724138
bat,2914,0.8711509715994021,211,0.7873134328358209
fırla,3644,0.7987724682156949,209,0.7655677655677655
sınırla,3916,0.8479861411866609,177,0.7436974789915967
yargıla,4571,0.7656616415410386,219,0.7657342657342657
temizle,3741,0.7658137154554759,231,0.7649006622516556
sap,15776,0.7787540724651989,288,0.6923076923076923
çözümle,5509,0.8086012035813885,208,0.7675276752767528
yor,9883,0.742468634963564,260,0.6933333333333334
adlan,907,0.6928953399541635,108,0.7397260273972602
ez,13154,0.7768263154786511,300,0.6637168141592921
hedefle,3625,0.8720230935770988,140,0.7368421052631579
sorgula,4207,0.8240940254652301,239,0.775974025974026
derle,1503,0.8222100656455142,132,0.8098159509202454
eri,10712,0.7947177090288597,267,0.6691729323308271
yapılan,300,0.7518796992481203,70,0.8235294117647058
sula,2607,0.9169890960253254,174,0.8285714285714286
birik,4067,0.7903225806451613,231,0.77
doy,3758,0.8076509778637438,219,0.7324414715719063
kayna,6677,0.7636093321134492,204,0.7183098591549296
yasakla,3652,0.7397204780230909,178,0.7606837606837606
boşa,9780,0.7116350141890417,260,0.7008086253369272
boğ,4223,0.7537033731929323,243,0.745398773006135
kapla,2485,0.8548331613347093,166,0.8058252427184466
titre,2939,0.9268369599495427,158,0.8186528497409327
gizle,3996,0.7495779403489027,222,0.7207792207792207
piş,3323,0.832206361131981,209,0.7517985611510791
sal,18447,0.7736861972067274,298,0.6788154897494305
tekrarla,4046,0.7836529149719156,204,0.7259786476868327
gözük,3382,0.8579401319127347,135,0.7670454545454546
onayla,4562,0.7504523770356967,218,0.7414965986394558
yenile,4800,0.7719523962688968,212,0.7765567765567766
yanıtla,3342,0.870992963252541,202,0.7426470588235294
kanıtla,3205,0.8288078613912594,207,0.7419354838709677
özen,3680,0.7671461329997915,201,0.7613636363636364
keşfet,3928,0.8359225367099383,239,0.746875
zannet,3829,0.8990373327072083,181,0.7835497835497836
yakış,5077,0.7802366682034731,227,0.7418300653594772
hızlan,31,0.5636363636363636,20,0.5882352941176471
sön,4142,0.7579139981701738,217,0.7457044673539519
canlan,274,0.8782051282051282,72,0.8372093023255814
tüket,3942,0.7705238467552775,225,0.7120253164556962
pazarla,2653,0.7732439522005247,144,0.7741935483870968
çak,2826,0.8351063829787234,231,0.7427652733118971
sürükle,3767,0.7831600831600831,195,0.7116788321167883
ilet,4299,0.8196377502383222,204,0.7364620938628159
utan,2929,0.7413313085294863,189,0.75
bulun,10772,0.7769763416041546,240,0.6685236768802229
yapış,4051,0.7620391271632807,211,0.7562724014336918
süz,2082,0.8958691910499139,148,0.8222222222222222
özetle,6098,0.7932873682841161,176,0.7272727272727273
akla,21184,0.8006349446313163,293,0.679814385150812
rahatla,4329,0.7778975741239892,192,0.7529411764705882
denetle,4295,0.8245344595891726,202,0.7565543071161048
işit,3494,0.8370867273598467,242,0.7515527950310559
özle,12355,0.8687855987623937,275,0.7313829787234043
göm,4460,0.7456946998829627,214,0.7588652482269503
