collocate_pair,risk_ratio,risk_ratio_reverse,odds_ratio,mutual_information,dice_coefficient,t_score,chi_squared,risk_ratio_confidence_interval_left,risk_ratio_confidence_interval_right,risk_ratio_reverse_confidence_interval_left,risk_ratio_reverse_confidence_interval_right,suffix1_frequency,suffix2_frequency,suffix1-suffix2_frequency,suffix1-suffix2_adjacent_frequency,stem_frequency
"('Able→Verb', 'Neces')",0.8823720113718051,0.8846087347651989,0.8820818121214496,0.7840893990387786,0.008059256498649026,5.514937416068441,1.0490935937216216e+26,0.7588382730546948,1.0260162067447633,0.7607618509733837,1.0286170535781294,33236,9696,173,173,127
"('Loc', 'A3pl')",0.872536985658427,0.8681218659381823,0.8680680080214511,-3.6228757305861587,0.0008763407060257949,-76.7733624482881,9.785076370090908e+25,0.6502364365137595,1.1708368657771824,0.6469461786096695,1.1649123204338334,21872,83110,46,0,37
"('Inf3→Noun', 'Cond')",0.8724095117845118,0.8717729251098075,0.8717432429165457,1.3104670856292024,0.0006517311608961303,1.1936201003348053,1.0469869851627465e+26,0.3265521695663998,2.33070984419637,0.3263138883957641,2.3290091533976387,437,11838,4,4,2
"('Opt', 'A2sg')",0.8720616908194407,0.8722159654753691,0.8714156318655794,0.48670936335847104,0.006462437084446654,2.920245555010825,1.0472995520924312e+26,0.7187968738038865,1.058006260614805,0.718924034693484,1.0581934303455072,20666,11520,104,96,70
"('P2pl', 'Rel→Adj')",0.8715312490987918,0.8715075876188424,0.8714479900249738,0.10209259856012086,0.00039494470774091627,0.06831938265460416,1.0579897059207418e+26,0.12262881322650084,6.194031387653951,0.12262548393772507,6.1938632239195615,4382,682,1,0,1
"('Unable', 'A3pl')",0.8696923767564739,0.8668764890799883,0.8651302184690383,1.409483474268971,0.027974843732024388,23.823205634008055,9.785076370090912e+25,0.825172816702045,0.9166138472802289,0.8225010743393166,0.9136460373906232,21198,83110,1459,2,378
"('Inf1→Noun', 'Rel→Adj')",0.8623842471188653,0.8650408696375581,0.8622957217635825,1.625092863858254,0.0012981719926940087,4.431618656039304,1.057989705920742e+26,0.6375812775835764,1.1664498563969898,0.6395453820824518,1.1700431698947527,65565,682,43,0,41
"('Inf2→Noun', 'P1sg')",0.8607919700212879,0.8733768858790255,0.8601482880162318,0.7327348168255359,0.011399874648681248,15.146930473580086,1.0472936537326184e+26,0.8153007266837486,0.9088214831685609,0.8272205533101674,0.9221085981669707,242161,11526,1446,1316,483
"('Become→Verb', 'P2sg')",0.8578691633651352,0.8614984366038492,0.8557652884630986,1.9260966070750605,0.045428588077617856,32.54039217394654,1.030289551963729e+26,0.8195939806714306,0.8979318038059505,0.8230613281734597,0.9017305647416621,56886,28919,1949,0,49
"('Inf1→Noun', 'Cop')",0.8570075583768756,0.8550582883054348,0.8521284699480909,0.8301339378205693,0.03494908866332008,20.561343650668775,9.99670116713708e+25,0.8210555868217679,0.8945337768885171,0.8191880897772704,0.8924991531537112,65565,60733,2207,1781,529
"('Hastily→Verb', 'A1pl')",0.8566262328176015,0.854890046788763,0.8547021979965513,1.5169221218664461,0.003584561663731034,4.954633695609284,1.0290358337062966e+26,0.6609987611364347,1.1101511014781047,0.6596590673817969,1.1079010783543133,2152,30209,58,0,43
"('Related→Adj', 'P3sg')",0.8529563966781138,0.8413297315645375,0.8412198888900366,2.4241138495950816,0.002397420705999063,10.733413476199095,9.220946325316513e+25,0.7308812521812572,0.9954210926369262,0.7209185957195698,0.9818524885017639,720,144436,174,0,2
"('Hastily→Verb', 'Inf1→Noun')",0.8480705704251329,0.8472536997058661,0.8470579403498236,-0.6010253292487236,0.000856505751879144,-2.7830343860738176,9.950741891864925e+25,0.5884876055439459,1.2221560584210156,0.5879207679358688,1.2209788645254673,2152,65565,29,28,19
"('Able→Verb', 'PastPart→Noun')",0.8466358023659539,0.8482353550150891,0.8450465018054918,-0.24162329071782873,0.012483983793330333,-4.8961655039506455,9.792945676130788e+25,0.7861368594804301,0.9117905784516726,0.7876221112175414,0.9135132282984463,33236,82272,721,720,301
"('Acquire→Verb', 'Desr')",0.8465304256681969,0.8524522281077788,0.846392051461832,0.12921235040947412,0.003981048891228532,0.942382283184424,1.0522006391065372e+26,0.7057488365470005,1.0153948890488247,0.7106858182020865,1.0224979626641197,54246,6542,121,64,39
"('Hastily→Verb', 'PastPart→Adj')",0.8453899654216416,0.8451630241103925,0.8449652125793933,-0.43928115880823443,0.0009089187653853436,-1.2329749726940997,1.034832886129441e+26,0.47955380700004857,1.490310749708076,0.4794250728368499,1.4899106821776569,2152,24253,12,12,10
"('Agt→Noun', 'Neg')",0.8387039637546737,0.8358797096642935,0.8358742087328258,0.9272551892692105,3.911521386243179e-05,0.6705384458926607,9.60671208171767e+25,0.20722405197534843,3.3945110720134033,0.20652624511892612,3.383080385866343,33,102229,2,0,1
