verb_lemma,formula_freq,formula_freq_norm,num_formula,formula_prop
uzaklaş,100,0.6993006993006993,63,0.7682926829268293
yönet,4017,0.7923076923076923,224,0.7156549520766773
sözleş,110,0.873015873015873,34,0.85
yağ,4636,0.8146195747671763,204,0.7010309278350515
yayınla,4343,0.7597970608817355,221,0.7317880794701986
algıla,6586,0.7852629068796948,260,0.7202216066481995
sil,6412,0.7958297132927888,269,0.7211796246648794
alış,12971,0.8280242578997765,302,0.638477801268499
düzel,7355,0.7205133228840125,250,0.7082152974504249
atla,18957,0.7802840090553612,308,0.6443514644351465
kavuş,5186,0.799198643858838,249,0.699438202247191
patla,4709,0.8075801749271136,251,0.7492537313432835
er,2164373,0.796469715447304,564,0.5518590998043053
sus,4220,0.8378002779432202,239,0.7286585365853658
yükle,4835,0.750310366232154,239,0.7071005917159763
beğen,4934,0.7923558696001285,235,0.7186544342507645
yen,13075,0.7553873707319891,259,0.6658097686375322
başvur,3773,0.799364406779661,231,0.7380191693290735
dokun,4309,0.7772366522366523,268,0.7108753315649867
öngör,3619,0.77,156,0.7255813953488373
gülümse,2350,0.8723088344469191,158,0.8315789473684211
benimse,4569,0.8192576654115116,246,0.75
yıka,4207,0.7973843821076573,258,0.7087912087912088
buyur,1811,0.8916789758739537,116,0.7891156462585034
örgütle,5368,0.6872359493022661,189,0.8042553191489362
kaybol,3048,0.9049881235154394,167,0.7625570776255708
dağıt,4440,0.8205507299944558,233,0.7350157728706624
genişle,5411,0.746036122983593,207,0.7314487632508834
it,43360,0.8027845663926535,339,0.6301115241635687
yayımla,4161,0.7787759685569905,207,0.7781954887218046
öp,6514,0.6810245687401987,266,0.7208672086720868
yorumla,4922,0.8153056153718734,249,0.7388724035608308
salla,3303,0.8125461254612546,167,0.7695852534562212
suçla,4366,0.8499124002335994,211,0.7700729927007299
uyar,3615,0.8470009372071228,216,0.7448275862068966
eğ,30590,0.7796212758365828,326,0.6330097087378641
sırala,5394,0.8491813602015114,209,0.7769516728624535
es,29091,0.7570261267825544,325,0.6410256410256411
sergile,3817,0.7940503432494279,245,0.7704402515723271
kuru,6656,0.7916270218839201,220,0.7051282051282052
parçala,4179,0.7086654230964897,210,0.7553956834532374
sığ,4328,0.7732713953903877,264,0.7193460490463215
ısın,1526,0.8006295907660022,176,0.8262910798122066
anımsa,4335,0.8177702320316921,247,0.7138728323699421
kapsa,2050,0.8913043478260869,147,0.7945945945945946
eleştir,3671,0.8146915224145583,224,0.7344262295081967
don,8016,0.7318542864968501,288,0.7539267015706806
as,30743,0.7741683664475838,319,0.6367265469061876
seslen,4080,0.8557046979865772,235,0.7654723127035831
kavra,3992,0.8294203199667567,263,0.7166212534059946
güçlen,317,0.723744292237443,71,0.696078431372549
döv,3727,0.8526652939830702,233,0.7491961414790996
yönlen,7933,0.6972839940230289,235,0.6973293768545994
çök,3705,0.8616279069767442,208,0.7197231833910035
imzala,4334,0.7897230320699709,236,0.7637540453074434
reddet,4059,0.8344983552631579,224,0.7320261437908496
ört,4193,0.7751894989831762,259,0.7076502732240437
ölç,5069,0.8181084570690769,245,0.7469512195121951
üstlen,3280,0.8855291576673866,211,0.7785977859778598
yarış,3308,0.7772556390977443,212,0.8122605363984674
kutla,3968,0.8433581296493092,195,0.7442748091603053
dinlen,3644,0.8709369024856597,246,0.7569230769230769
çoğal,5047,0.7844264843021449,224,0.7133757961783439
boya,4354,0.8249336870026526,243,0.7363636363636363
göç,1068,0.8704156479217604,177,0.815668202764977
dağıl,3152,0.8903954802259887,154,0.7403846153846154
amaçla,3053,0.825804706518799,150,0.7853403141361257
boşal,5878,0.7460337606295215,232,0.7073170731707317
gecik,3995,0.7534892493398717,213,0.71
bat,3019,0.8760882182240278,222,0.7985611510791367
fırla,3741,0.7934252386002121,212,0.7464788732394366
sınırla,4249,0.8554459432252869,187,0.7362204724409449
yargıla,4940,0.7795486823418021,228,0.7524752475247525
temizle,4234,0.8147007889166827,237,0.7452830188679245
sap,16325,0.7742470950912971,293,0.6659090909090909
çözümle,5609,0.8096131639722863,218,0.7622377622377622
yor,10262,0.7404040404040404,272,0.6886075949367089
adlan,913,0.6921910538286581,111,0.74
ez,13557,0.7726107026842195,315,0.660377358490566
hedefle,3680,0.8712121212121212,148,0.729064039408867
sorgula,4309,0.8248468606431854,255,0.7822085889570553
derle,1613,0.8175367460719716,139,0.7942857142857143
eri,11007,0.7831376734258271,274,0.657074340527578
yapılan,306,0.7536945812807881,73,0.8202247191011236
sula,2810,0.9168026101141925,178,0.8054298642533937
birik,4252,0.7709882139619221,241,0.753125
doy,3870,0.8120016785564415,230,0.7371794871794872
kayna,8755,0.7674438990182328,235,0.6582633053221288
yasakla,3746,0.7462151394422311,190,0.7661290322580645
boşa,12369,0.7338910644357423,266,0.689119170984456
boğ,5418,0.7527090858571825,274,0.7116883116883117
kapla,2502,0.8464140730717186,179,0.7955555555555556
titre,2986,0.927905531385954,168,0.8235294117647058
gizle,4121,0.7518700966976829,235,0.7230769230769231
piş,3839,0.8482103402562969,217,0.7406143344709898
sal,19108,0.7584947602413464,311,0.67170626349892
tekrarla,4219,0.7826006306807642,213,0.714765100671141
gözük,3397,0.8486135398451161,144,0.7700534759358288
onayla,4685,0.744477991419037,228,0.7238095238095238
yenile,5673,0.7676589986468201,219,0.7630662020905923
yanıtla,3430,0.875223271242664,215,0.7517482517482518
kanıtla,3280,0.8312214901165738,222,0.75
özen,4092,0.7551208710094113,203,0.7224199288256228
keşfet,4014,0.8322620775450964,251,0.7404129793510325
zannet,4179,0.9393122049898853,194,0.8016528925619835
yakış,5365,0.7879277426934939,236,0.7398119122257053
hızlan,31,0.5636363636363636,20,0.5882352941176471
sön,4667,0.7717876633041177,230,0.7516339869281046
canlan,276,0.8789808917197452,74,0.8409090909090909
tüket,4046,0.7694941042221377,232,0.6987951807228916
pazarla,2985,0.8413190529875987,152,0.7676767676767676
çak,2925,0.8361921097770154,244,0.7484662576687117
sürükle,3846,0.7727546714888487,198,0.6851211072664359
ilet,4411,0.8229477611940299,220,0.7407407407407407
utan,3067,0.7485965340493044,196,0.7424242424242424
bulun,11135,0.765818431911967,247,0.6465968586387435
yapış,4292,0.7680744452397996,220,0.7586206896551724
süz,2209,0.8968737312220869,161,0.8429319371727748
özetle,6151,0.7923483189488599,185,0.7170542635658915
akla,21722,0.8004274449111947,308,0.676923076923077
rahatla,4443,0.774446574864912,199,0.7397769516728625
denetle,4425,0.8257137525657772,215,0.7491289198606271
işit,3617,0.8370747512149965,253,0.7485207100591716
özle,12469,0.8674086956521739,289,0.7261306532663316
göm,4689,0.7429884328949453,221,0.7441077441077442
um,42747,0.8050282485875706,373,0.648695652173913
soy,4864,0.831879596374209,274,0.7345844504021448
yarala,5528,0.6839044909068415,167,0.6872427983539094
barın,5100,0.7311827956989247,204,0.7132867132867133
sonuçlan,123,0.917910447761194,43,0.86
sakın,1262,0.8492597577388964,202,0.8015873015873016
saldır,15,0.8823529411764706,2,0.5
hoşlan,4768,0.7472183043410123,187,0.763265306122449
diren,2730,0.7887893672349032,211,0.7104377104377104
yanıl,5623,0.8348923533778768,208,0.7272727272727273
sez,2817,0.7912921348314607,227,0.7229299363057324
em,293996,0.8044722699561091,377,0.5712121212121212
dola,5098,0.8937587657784011,245,0.7227138643067846
eriş,5000,0.7800312012480499,245,0.6940509915014165
ayarla,4573,0.772335754095592,240,0.7407407407407407
tasarla,4170,0.7473118279569892,228,0.7676767676767676
örnekle,551,0.9168053244592346,106,0.8548387096774194
aydınlat,3507,0.7936184657162254,217,0.7862318840579711
arın,9010,0.7337133550488599,234,0.6573033707865169
sars,4779,0.7416201117318436,177,0.7165991902834008
toparla,4593,0.7538158542589857,217,0.735593220338983
eğlen,3822,0.84,226,0.7533333333333333
aydınlan,2072,0.7016593294954284,138,0.8518518518518519
kok,3999,0.857602401887197,235,0.7679738562091504
ger,15818,0.8250573753390361,239,0.6602209944751382
danış,2620,0.8830468486686889,193,0.8109243697478992
katlan,3664,0.8207885304659498,228,0.7378640776699029
kızar,4112,0.875452416436023,194,0.7698412698412699
gözlemle,3196,0.8687143245447132,203,0.7718631178707225
yığ,3587,0.7385217212270949,196,0.7538461538461538
koşulla,738,0.7062200956937799,79,0.7383177570093458
daral,4276,0.754810238305384,189,0.6974169741697417
gerile,3098,0.876131221719457,172,0.8037383177570093
öv,6638,0.8465756918760362,268,0.7146666666666667
küçül,4250,0.7828329342420335,226,0.7266881028938906
uzlaş,3821,0.8553839265726438,236,0.7737704918032787
süsle,3406,0.7989678630072719,177,0.7344398340248963
şekillen,1141,0.786896551724138,147,0.765625
tüken,2748,0.8893203883495145,147,0.786096256684492
varol,2332,0.8304843304843305,167,0.7016806722689075
sız,5161,0.8220770946161198,262,0.7572254335260116
kana,2581,0.9094432699083862,197,0.8277310924369747
tırman,2789,0.8443838934302149,227,0.7721088435374149
eyle,1862,0.9558521560574949,164,0.8586387434554974
elle,10292,0.7821263013906832,280,0.6730769230769231
kısıtla,4262,0.8032416132679985,191,0.7764227642276422
doğrula,3296,0.8070519098922625,194,0.708029197080292
bulaş,4138,0.7953103978473958,233,0.728125
soğu,3354,0.8948772678762006,190,0.7916666666666666
tutukla,5262,0.7406052076002815,212,0.7491166077738516
parla,7778,0.7985626283367556,258,0.6954177897574124
çabala,2194,0.9168407856247388,166,0.7649769585253456
zayıfla,4097,0.7712725903614458,207,0.7263157894736842
ser,10686,0.8106508875739645,280,0.7235142118863049
kıyasla,3601,0.8521060104117368,182,0.7711864406779662
yut,5581,0.7672532306846301,301,0.7
ertele,5056,0.7835115450178212,230,0.7210031347962382
okşa,2858,0.901292967518133,195,0.8057851239669421
yar,27024,0.7425603824911384,316,0.6556016597510373
sin,10950,0.8002046185325928,277,0.6873449131513648
tara,2800,0.7893994925288976,202,0.8047808764940239
sök,2035,0.8367598684210527,230,0.7641196013289037
kov,4826,0.8131423757371525,245,0.718475073313783
aldat,4029,0.8227486216050643,217,0.7380952380952381
cevapla,1630,0.8592514496573537,192,0.7836734693877551
kuşat,2978,0.7793771264066999,190,0.7786885245901639
nitele,10329,0.7559833125960623,237,0.6694915254237288
devret,4163,0.7716404077849861,220,0.7534246575342466
sav,5449,0.9147221755917408,275,0.766016713091922
bayıl,2708,0.7869805289160128,191,0.7925311203319502
programla,1357,0.8545340050377834,123,0.7884615384615384
varsay,3578,0.8031425364758699,177,0.7831858407079646
ör,25183,0.736258917085721,330,0.642023346303502
kalkış,3131,0.8726309921962095,217,0.7722419928825622
tıka,3579,0.7283272283272283,195,0.7442748091603053
bağışla,2770,0.8101784147411524,243,0.7641509433962265
kabullen,3458,0.84423828125,263,0.7579250720461095
becer,4572,0.734221936727156,232,0.7435897435897436
sıçra,2388,0.8013422818791947,219,0.7711267605633803
eğit,4274,0.7362618432385875,218,0.7315436241610739
bürü,2869,0.859496704613541,211,0.74822695035461
hallet,3384,0.8187757077183644,231,0.721875
